SP_ENTITY_NAME,SP_ENTITY_ID,SP_COMPANY_NAME,SP_COMPANY_STATUS,SP_COMPANY_TYPE,SPONSOR_BACKED_INFO,reprisk_id,company_name_reprisk,sectors,no_reported_risk_exposure
"1000memories, Inc.",4337431,"1000memories, Inc.",Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Greylock Partners;Y Combinator Management, LLC;SV Angel;Felicis Ventures Management Company, LLC;Lowercase Capital;Signatures Capital, LLC;Founder Collective Management Co, LLC]",1490809,1000memories INC,Software and Computer Services,True
"1105 Media, Inc.",4149253,"1105 Media, Inc.",Operating,Private Company,"Pending or Current Sponsor-Backed [Nautic Partners, LLC;Alta Equity Partners]

Prior Sponsor-Backed [Frontenac Company LLC]",426863,1105 Media Inc,Media,True
"11i Solutions, Inc.",4295258,"11i Solutions, Inc.",Operating,Private Company,Pending or Current Sponsor-Backed [Steel Pier Capital Advisors LLC],1360414,11I Solutions INC,Software and Computer Services,True
180 Connect Inc. (NASDAQGM:CNCT),4204954,180 Connect Inc.,Operating Subsidiary,Private Company,"Prior Sponsor-Backed [Midsummer Capital, LLC;Radcliffe Capital Management, L.P.;Centrecourt Asset Management LLC;Laurus Capital Management, LLC]",99913,180 Connect Inc,Technology Hardware and Equipment,True
"1-800 CONTACTS, INC. (NASDAQGM:CTAC)",4327099,"1-800 CONTACTS, INC.",Operating,Private Company,"Pending or Current Sponsor-Backed [Leonard Green & Partners, L.P.;KKR & Co. Inc. (NYSE:KKR) (NYSE : KKR)]

Prior Sponsor-Backed [Thomas H. Lee Partners, L.P.;AEA Investors LP;Fenway Partners, LLC;THL Managers VII, LLC;Camelot Venture Group;Leavitt Equity Partners;Camelot Ventures]",203008,1-800 Contacts Inc,Software and Computer Services | Retail,False
"1-800-FLOWERS.COM, Inc. (NASDAQGS:FLWS)",4122591,"1-800-FLOWERS.COM, Inc.",Operating,Public Company,"Prior Sponsor-Backed [Wand Partners Inc.;J.P. Morgan Partners, LLC;Argentum Group;L Catterton Europe SAS;First Analysis Corporation;Ethos Private Equity;Panorama Capital;SoftBank Capital;CCMP Capital Advisors, LP;Benchmark]",37541,1-800-Flowers.com Inc,Retail,False
"1895 Bancorp of Wisconsin, Inc. (OTCQX:BCOW)",11123920,"1895 Bancorp of Wisconsin, Inc.",Operating,Public Company,Never Sponsor-Backed,974553,1895 Bancorp of Wisconsin Inc,Financial Services,True
1st Capital Bancorp (OTCPK:FISB),4144316,1st Capital Bancorp,Acquired,Public Company,Prior Sponsor-Backed [Wellington Management Group LLP (NASDAQGM : );1st & Main Growth Partners],2354958,1st Capital Bancorp,Financial Services,True
1st Centennial Bancorp. (OTCPK:FCEN),4051209,1st Centennial Bancorp.,Out of Business,Public Company,Never Sponsor-Backed,58450,1st Centennial Bancorp,Banks,True
"1st Century Bancshares, Inc. (NASDAQGM:FCTY)",4190194,"1st Century Bancshares, Inc.",Acquired,Private Company,"Prior Sponsor-Backed [Palisair Capital LLC;Basswood Capital Management, L.L.C.;Belvedere Capital Partners, LLC;Maltese Capital Management, LLC]",46889,1st Century Bancshares Inc,Banks,True
