Target,PE_Firm,Entry_Transaction_ID,Entry_Date,Exit_Transaction_ID,Exit_Date,reprisk_id,Company,sectors,no_reported_risk_exposure
"1-800 CONTACTS, INC.",AEA Investors LP,SPTRD294156,2016-02-10,,,203008,"1-800 CONTACTS, INC.",Software and Computer Services | Retail,False
"1-800 CONTACTS, INC.","Fenway Partners Capital Fund III, L.P.",SPTRD732762,2007-09-06,,,203008,"1-800 CONTACTS, INC.",Software and Computer Services | Retail,False
"1-800 CONTACTS, INC.","Fenway Partners, LLC",SPTRD732762,2007-09-06,,,203008,"1-800 CONTACTS, INC.",Software and Computer Services | Retail,False
"1-800 CONTACTS, INC.","1-800 CONTACTS, INC. (:CTAC)",,,SPTRD732762,2007-09-06,203008,"1-800 CONTACTS, INC.",Software and Computer Services | Retail,False
"1-800 CONTACTS, INC.","Thomas H. Lee Partners, L.P.",,,SPTRD294156,2016-02-10,203008,"1-800 CONTACTS, INC.",Software and Computer Services | Retail,False
"1000memories, Inc.",Ancestry.com LLC (:ACOM),SPTRD167063,2012-10-03,,,1490809,"1000memories, Inc.",Software and Computer Services,True
"1000memories, Inc.","1000memories, Inc.",,,SPTRD167063,2012-10-03,1490809,"1000memories, Inc.",Software and Computer Services,True
29West Inc.,Informatica LLC (:INFA),SPTRD167694,2010-03-22,,,1362844,29West Inc.,Software and Computer Services,True
29West Inc.,"29West, Inc.",,,SPTRD167694,2010-03-22,1362844,29West Inc.,Software and Computer Services,True
"A Bit Lucky, Inc.",Zynga Inc. (:ZNGA),SPTRD166749,2012-09-17,,,1355954,"A Bit Lucky, Inc.",Software and Computer Services,True
"A Bit Lucky, Inc.","A Bit Lucky, Inc.",,,SPTRD166749,2012-09-17,1355954,"A Bit Lucky, Inc.",Software and Computer Services,True
"A-Life Medical, Inc.",Southeastern Technology Fund,SPTRD1402416,1997-06-30,,,1328929,"A-Life Medical, Inc.",Health Care Equipment and Services,True
"A-Life Medical, Inc.","A-Life Medical, Inc.",,,SPTRD1402416,1997-06-30,1328929,"A-Life Medical, Inc.",Health Care Equipment and Services,True
A21 Inc.,"StarVest Partners, L.P.",,,SPTRD1756199,2009-06-01,59285,A21 Inc.,Software and Computer Services,True
"AboveNet, Inc.","Zayo Group, LLC",SPTRD162699,2012-07-02,,,11959,"AboveNet, Inc.",Telecommunications,True
"AboveNet, Inc.","AboveNet, Inc. (:ABVT)",,,SPTRD162699,2012-07-02,11959,"AboveNet, Inc.",Telecommunications,True
"Accelerated Payment Technologies, Inc.",Global Payments Inc. (NYSE:GPN),SPTRD166092,2012-10-01,,,1240172,"Accelerated Payment Technologies, Inc.",Financial Services,True
"Accelerated Payment Technologies, Inc.","Great Hill Partners, LP",,,SPTRD166092,2012-10-01,1240172,"Accelerated Payment Technologies, Inc.",Financial Services,True
Access Data Corp.,"Broadridge Financial Solutions, Inc. (NYSE:BR)",SPTRD146141,2009-05-21,,,228652,Access Data Corp.,Support Services (Industrial Goods and Services),True
Access Data Corp.,"Broadridge Financial Solutions, Inc. (NYSE:BR)",SPTRD146141,2009-05-21,,,2531337,Access Data Corp.,Software and Computer Services,True
Access Data Corp.,Access Data Corp.,,,SPTRD146141,2009-05-21,228652,Access Data Corp.,Support Services (Industrial Goods and Services),True
Access Data Corp.,Access Data Corp.,,,SPTRD146141,2009-05-21,2531337,Access Data Corp.,Software and Computer Services,True
"Access Point Financial, Inc.",Stone Point Capital LLC,SPTRD872009,2012-01-30,SPTRD886926,2017-10-05,202973,"Access Point Financial, Inc.",Financial Services,True
"Access Point Financial, Inc.","Wells Fargo Capital Finance, Inc.",SPTRD872009,2012-01-30,,,202973,"Access Point Financial, Inc.",Financial Services,True
"Access Point Financial, Inc.","Wcp Investments, L.P.",SPTRD886926,2017-10-05,,,202973,"Access Point Financial, Inc.",Financial Services,True
"Access Point Financial, Inc.","Access Point Financial, LLC",,,SPTRD872009,2012-01-30,202973,"Access Point Financial, Inc.",Financial Services,True
"Accipiter Solutions, Inc.",Engage Inc. (:ENGA),SPTRD436699,1998-04-09,,,1066398,"Accipiter Solutions, Inc.",Support Services (Industrial Goods and Services),True
"Accipiter Solutions, Inc.",Cordova Ventures,,,SPTRD436699,1998-04-09,1066398,"Accipiter Solutions, Inc.",Support Services (Industrial Goods and Services),True
"Accipiter Solutions, Inc.","Cordova Capital Partners, L.P.",,,SPTRD436699,1998-04-09,1066398,"Accipiter Solutions, Inc.",Support Services (Industrial Goods and Services),True
