company_name,year,Total Climate Incidents,Max Severity Score,GHG-Related Incidents,Pollution-Related Incidents,UNGC Principle 7 Violations,UNGC Principle 8 Violations,UNGC Principle 9 Violations
100 Percent Soccer Inc (100% Soccer; OHPSoccer),2020,1,2,0,0,0,0,0
100% Pure,2008,1,2,0,0,1,1,1
1000 Motor Parkway Central Islip LLC,2019,1,1,0,1,1,1,1
1000 Motor Parkway Central Islip LLC,2022,1,1,0,1,1,1,1
101 Hotel LLC,2019,1,1,0,0,1,1,1
1031 Canal Development LLC,2020,1,2,0,0,1,1,1
110 North Wacker Titleholder LLC,2018,1,1,0,0,1,1,1
1275 River Road Associates LLC,2019,1,1,0,0,1,1,1
1325 G Street Associates Lp,2010,1,1,0,1,1,1,1
1705 Noble Road Properties LLC,2021,1,1,0,1,1,1,1
1798 Volantis Fund Ltd,2021,1,1,0,1,1,1,1
1800 Cordon Road LLC,2022,1,1,0,1,1,1,1
18434 Oxnard LLC,2018,1,1,0,1,1,1,1
199 E Sunrise Highway Realty Corp,2019,1,1,0,1,1,1,1
199 E Sunrise Highway Realty Corp,2022,1,1,0,1,1,1,1
2013 Investors LLC,2016,2,1,0,1,2,2,2
2149 Gas Stop Inc,2022,1,1,0,1,1,1,1
21st Century Environmental Management Inc,2009,1,1,0,1,1,1,1
21st Century Insurance Group,2017,1,1,0,0,1,1,1
21st Century Security Insurance Co (formerly New Hampshire Indemnity Co Inc),2017,1,1,0,0,1,1,1
2201 Channing St LLC,2021,1,1,0,1,1,1,1
231 Maverick Street LLC,2023,1,1,0,1,0,0,0
2664 RT 112 Realty Corp,2019,1,1,0,1,1,1,1
2664 RT 112 Realty Corp,2022,1,1,0,1,1,1,1
277 Lincoln Boulevard LLC,2022,1,1,0,1,1,1,1
277 Lincoln Holdings LLC,2022,1,1,0,1,1,1,1
280 Salem Street LLC,2020,1,1,0,0,1,1,1
3 Way Farms Inc,2020,1,1,0,0,1,1,1
"3-F Contracting, Inc.",2008,1,2,0,0,1,1,1
305 Third Avenue West LLC,2019,1,1,0,1,1,1,1
3520 Xenwood Inc (formerly Douglas Corp),2016,1,1,0,1,1,1,1
3520 Xenwood Inc (formerly Douglas Corp),2023,1,1,0,1,0,0,0
3Degrees Group Inc,2018,1,1,0,0,1,1,1
3G Capital Inc,2015,1,1,0,0,1,1,1
3G Capital Inc,2017,5,2,1,1,5,5,5
3G Capital Partners LP (formerly 3G Capital Partners Ltd),2022,1,1,1,0,1,1,1
3M Co (3M),2007,1,2,0,1,1,1,1
3M Co (3M),2008,3,2,0,3,3,3,3
3M Co (3M),2009,1,1,0,0,1,1,1
3M Co (3M),2010,5,2,1,5,5,5,5
3M Co (3M),2011,4,2,1,2,4,4,4
3M Co (3M),2012,2,1,0,2,2,2,2
3M Co (3M),2013,2,2,0,2,2,2,2
3M Co (3M),2014,9,2,1,5,9,9,9
3M Co (3M),2015,6,2,0,5,6,6,6
3M Co (3M),2016,8,2,0,7,8,8,8
3M Co (3M),2017,12,2,0,11,12,12,12
3M Co (3M),2018,18,2,0,18,18,18,18
3M Co (3M),2019,17,2,0,16,17,17,17
3M Co (3M),2020,16,2,1,15,16,16,16
3M Co (3M),2021,28,2,0,27,28,28,28
3M Co (3M),2022,34,3,1,31,33,33,33
3M Co (3M),2023,56,3,1,54,39,39,39
3P Processing Inc,2020,1,1,0,1,1,1,1
3V Inc,2018,1,1,0,1,1,1,1
3rd Avenue Transit Inc,2022,1,1,0,1,1,1,1
4 Brothers Dairy Inc,2017,1,1,0,1,1,1,1
4 Brothers Dairy Inc,2020,2,1,0,2,2,2,2
4 Brothers Dairy Inc,2021,1,1,0,1,1,1,1
4 Guys Inc,2020,1,1,0,1,1,1,1
401 North Wabash Venture LLC,2023,1,1,0,1,0,0,0
404Concrete LLC,2020,1,1,0,1,1,1,1
436 Cone Avenue LLC,2022,1,1,0,1,1,1,1
465 Nassau Road Realty Corp,2019,1,1,0,1,1,1,1
465 Nassau Road Realty Corp,2022,1,1,0,1,1,1,1
49 Holding Corporation (Deauville Marina),2010,1,1,0,1,1,1,1
4x4 Anything LLC,2019,1,1,0,1,1,1,1
5 Brothers Farming Corp,2017,1,1,0,1,1,1,1
5 Ridges Development Co Inc,2021,1,1,0,0,1,1,1
525 America Inc,2016,1,1,0,0,0,0,0
5500 Anderby Hall Road LLC,2014,1,1,0,1,1,1,1
5R Processors Ltd,2020,1,1,0,0,1,1,1
5R Processors Ltd,2022,1,1,0,0,1,1,1
6-10 Constructors Joint Venture,2022,1,1,0,1,1,1,1
607 Station Road Realty Inc,2019,1,1,0,1,1,1,1
607 Station Road Realty Inc,2022,1,1,0,1,1,1,1
616 Broadway LLC,2019,1,1,0,1,1,1,1
616 Broadway LLC,2022,1,1,0,1,1,1,1
688 Partners LP,2017,1,1,0,0,1,1,1
7 Days Property Management Inc,2022,1,1,0,0,1,1,1
7-Eleven Inc,2009,1,1,0,1,1,1,1
7-Eleven Inc,2015,1,2,0,0,1,1,1
7-Eleven Inc,2018,1,2,0,1,1,1,1
7-Eleven Inc,2021,2,1,0,1,1,1,1
7-Eleven Inc,2022,1,1,0,0,0,0,0
7-Eleven Inc,2023,1,1,0,0,1,1,1
705 Limmerloop JV LLC,2023,1,1,0,1,0,0,0
73 Willard Road LLC,2023,1,1,0,1,1,1,1
76 Group (formerly EIS Solutions),2021,1,2,1,1,1,1,1
777 Ranch Inc,2018,1,2,0,0,1,1,1
8361 Broadwell Road LLC,2023,1,1,0,1,1,1,1
84 Lumber Co,2008,2,2,0,0,2,2,2
850 Route 28 LLC,2021,1,1,0,0,1,1,1
88th Street Farm,2020,1,2,0,1,1,1,1
910 Mayer LLC,2020,1,1,0,1,1,1,1
99 Cent Stuff Inc,2015,1,1,0,0,1,1,1
99 Cents Only Stores LLC,2015,1,1,0,0,1,1,1
A Plus Truck Sales Inc,2021,1,2,0,1,1,1,1
A Step Ahead K-9 Inc,2020,1,1,0,0,0,0,0
A T Massey Coal Co Inc,2011,1,1,0,1,1,1,1
A T Massey Coal Co Inc,2013,1,1,0,1,1,1,1
A T Massey Coal Co Inc,2015,1,2,0,1,1,1,1
A Wild Soap Bar,2008,1,2,0,0,1,1,1
A to Z Film Animals,2020,1,2,0,0,0,0,0
A&A Ready Mixed Concrete Inc,2017,1,1,0,1,1,1,1
A&AT LLC,2021,1,2,0,1,1,1,1
A&B Core Supplier Inc,2018,1,1,0,1,1,1,1
A&B Harvesting Inc,2011,1,2,0,1,1,1,1
A&E Construction Co,2021,1,1,0,0,1,1,1
A&E Television Networks LLC,2015,1,1,0,0,0,0,0
A&G Coal Corp,2008,1,1,0,0,1,1,1
A&G Coal Corp,2011,1,2,0,0,1,1,1
A&G Coal Corp,2012,1,2,0,1,1,1,1
A&G Coal Corp,2014,4,2,0,3,4,4,4
A&G Coal Corp,2015,2,1,0,2,2,2,2
A&G Coal Corp,2022,1,1,0,0,1,1,1
A&G Coal Corp,2023,2,2,0,1,2,2,2
A&K Alexander Cranberry Co,2017,1,1,0,0,1,1,1
A&K Alexander Cranberry Co,2018,1,1,0,0,1,1,1
A&L Cesspool Service Corp,2016,1,1,0,1,1,1,1
A&R Ironworks LLC,2019,1,1,0,1,1,1,1
A&S Metals Inc,2011,1,1,0,1,1,1,1
A&W All American Food Restaurants Inc,2008,1,1,0,0,1,1,1
A&W All American Food Restaurants Inc,2011,1,2,0,0,1,1,1
A&W Country Meats Inc,2021,1,1,0,0,0,0,0
A-Best Abatement Inc (Asbestos Abatement & Removal),2017,1,1,0,1,1,1,1
A-F Acquisition LLC (Pullman Innovations),2023,1,1,0,1,0,0,0
A.M. Ortega Construction Inc,2014,1,1,0,1,1,1,1
A2Z Sanitation LLC,2021,1,1,0,1,1,1,1
AA Sulfuric Inc,2014,1,2,0,1,1,1,1
AA Sydcol LLC,2023,1,1,0,1,1,1,1
AAA Alexandria Store,2020,1,1,0,0,0,0,0
AAA Arizona Inc,2019,1,1,0,0,0,0,0
AAA Cooper Transportation Inc,2021,1,1,1,0,1,1,1
AAA Northeast,2019,1,1,0,0,0,0,0
AAA Plating and Inspection Inc,2012,1,1,0,1,1,1,1
AAA Washington,2019,1,1,0,0,0,0,0
AAA; The (American Automobile Association),2018,1,2,0,0,0,0,0
AAA; The (American Automobile Association),2019,1,1,0,0,0,0,0
AAA; The (American Automobile Association),2020,2,1,0,0,0,0,0
AAA; The (American Automobile Association),2021,1,1,0,0,0,0,0
AAR Corp,2021,1,1,0,1,1,1,1
AARE LLC,2016,1,1,0,1,1,1,1
AB & I Foundry,2016,1,1,0,1,1,1,1
AB Electronics,2012,1,1,0,1,1,1,1
AB Resources LLC,2011,1,1,0,1,1,1,1
AB Resources LLC,2015,1,1,0,1,1,1,1
AB Specialty Silicones LLC,2019,1,2,0,1,1,1,1
AB Specialty Silicones LLC,2022,2,2,0,2,2,2,2
ABARTA Energy,2015,1,1,0,1,1,1,1
ABARTA Inc,2015,1,1,0,1,1,1,1
ABARTA Inc,2017,1,1,1,1,1,1,1
ABB Power T&D Solutions,2012,1,1,0,0,1,1,1
ABC Bakers,2014,1,2,0,0,1,1,1
ABC Bakers,2021,1,3,0,0,1,1,1
ABC Coke Inc,2017,2,1,0,2,2,2,2
ABC Coke Inc,2018,2,2,0,2,2,2,2
ABC Coke Inc,2019,4,2,0,4,4,4,4
ABC Coke Inc,2021,3,2,0,3,3,3,3
"ABC Disposal Services, Inc.",2009,1,1,0,1,1,1,1
"ABC Disposal Services, Inc.",2010,1,2,0,0,1,1,1
ABF Freight System Inc,2023,1,2,0,1,1,1,1
ABP Corp (Au Bon Pain),2023,1,1,1,1,1,1,1
ABRA Inc (ABRA Auto Body and Glass),2008,1,2,0,0,1,1,1
ABX Air Inc,2014,1,2,0,0,0,0,0
AC Schultes of Florida Inc (Jaffer Well Drilling),2020,1,1,0,1,1,1,1
ACBL Transportation Services LLC,2016,1,2,0,1,1,1,1
ACE Capital Title Reinsurance Co,2017,1,1,0,0,1,1,1
ACE Cogeneration Co,2012,1,2,0,1,1,1,1
ACE Fire Underwriters Insurance Co,2017,1,1,0,0,1,1,1
ACE Insurance Co of the Midwest,2017,1,1,0,0,1,1,1
ACE Property and Casualty Insurance Co,2017,1,1,0,0,1,1,1
ACE USA (ACE American Insurance Co),2017,1,1,0,0,1,1,1
ACH Food Companies Inc (formerly AC Humko Corp),2021,1,3,0,0,1,1,1
ACK Asset Management LLC,2015,1,2,0,0,1,1,1
ACM Machining Inc,2022,1,1,0,1,1,1,1
ACON Mexico DS Genpar LLC,2018,1,1,0,0,1,1,1
ACP Celtique Holdings,2013,1,1,0,1,1,1,1
ACRT Inc,2013,1,1,0,0,1,1,1
ACRT Inc,2017,1,1,0,0,1,1,1
ACS Industries Inc,2016,1,1,0,1,1,1,1
AD Makepeace Co,2021,1,1,0,0,1,1,1
ADM Corn Processing,2020,1,1,0,1,1,1,1
ADM Do Brasil Ltda,2021,2,1,1,1,2,2,2
ADM Do Brasil Ltda,2023,1,1,0,0,1,1,1
ADM Investor Services Inc,2013,1,2,0,0,1,1,1
ADT Inc (ADT Security Services; formerly Prime Security Services Parent Inc),2015,1,2,0,0,0,0,0
AEC Pellet 1 USA LLC,2021,1,1,1,0,1,1,1
AECOM Energy and Construction Inc (formerly URS Energy and Construction Inc),2014,1,2,0,0,1,1,1
AECOM Energy and Construction Inc (formerly URS Energy and Construction Inc),2020,1,2,0,0,1,1,1
AECOM Inc (AECOM; formerly Aecom Technology Corp),2008,1,1,0,1,1,1,1
AECOM Inc (AECOM; formerly Aecom Technology Corp),2015,4,2,0,1,4,4,4
AECOM Inc (AECOM; formerly Aecom Technology Corp),2018,1,1,0,1,1,1,1
AECOM Inc (AECOM; formerly Aecom Technology Corp),2019,1,1,0,0,1,1,1
AECOM Inc (AECOM; formerly Aecom Technology Corp),2020,1,1,1,0,1,1,1
AECOM Inc (AECOM; formerly Aecom Technology Corp),2023,2,1,1,1,1,1,1
AEI Services LLC (AEI; formerly Ashmore Energy International),2015,1,2,1,0,1,1,1
AEP Industries Inc,2011,1,1,1,0,1,1,1
AEP River Operations LLC,2014,1,1,0,1,1,1,1
AEP Southwestern Electric Power Co (SWEPCO),2007,1,1,0,0,1,1,1
AEP Southwestern Electric Power Co (SWEPCO),2008,2,1,1,0,2,2,2
AEP Southwestern Electric Power Co (SWEPCO),2009,2,1,0,2,2,2,2
AEP Southwestern Electric Power Co (SWEPCO),2010,2,2,0,2,2,2,2
AEP Southwestern Electric Power Co (SWEPCO),2011,8,2,0,5,8,8,8
AEP Southwestern Electric Power Co (SWEPCO),2012,3,2,0,2,3,3,3
AEP Southwestern Electric Power Co (SWEPCO),2013,3,2,1,2,3,3,3
AEP Southwestern Electric Power Co (SWEPCO),2014,1,2,1,0,1,1,1
AEP Southwestern Electric Power Co (SWEPCO),2015,2,2,0,2,2,2,2
AEP Southwestern Electric Power Co (SWEPCO),2016,1,2,0,1,1,1,1
AEP Southwestern Electric Power Co (SWEPCO),2019,1,1,0,1,1,1,1
AEP Southwestern Electric Power Co (SWEPCO),2020,1,1,1,0,1,1,1
AEP Southwestern Electric Power Co (SWEPCO),2023,2,3,0,2,2,2,2
AES Beaver Valley LLC,2010,1,2,0,1,1,1,1
AES Beaver Valley LLC,2012,1,2,0,1,1,1,1
AES Beaver Valley LLC,2013,1,1,0,1,1,1,1
AES Corp; The (formerly Applied Energy Services Inc),2007,3,1,0,1,3,3,3
AES Corp; The (formerly Applied Energy Services Inc),2008,12,2,1,3,12,12,12
AES Corp; The (formerly Applied Energy Services Inc),2009,14,3,1,4,14,14,14
AES Corp; The (formerly Applied Energy Services Inc),2010,7,2,1,5,7,7,7
AES Corp; The (formerly Applied Energy Services Inc),2011,9,2,0,6,9,9,9
AES Corp; The (formerly Applied Energy Services Inc),2012,13,2,6,5,13,13,13
AES Corp; The (formerly Applied Energy Services Inc),2013,14,2,2,11,14,14,14
AES Corp; The (formerly Applied Energy Services Inc),2014,21,3,3,13,21,21,21
AES Corp; The (formerly Applied Energy Services Inc),2015,12,2,2,4,12,12,12
AES Corp; The (formerly Applied Energy Services Inc),2016,9,2,2,7,9,9,9
AES Corp; The (formerly Applied Energy Services Inc),2017,19,2,2,9,19,19,19
