RepRisk_ID,date,current_RRI,RRI_trend,peak_RRI,peak_RRI_date,RepRisk_rating,country_sector_average,environmental_percentage,social_percentage,governance_percentage
10061,2020-12-31,0,0,19,2019-01-01,AA,26,0%,0%,0%
10061,2020-11-30,0,0,20,2018-12-01,AA,26,0%,0%,0%
10061,2020-10-31,0,0,21,2018-11-01,AA,25,0%,0%,0%
10061,2020-08-31,0,0,24,2018-09-01,AA,25,0%,0%,0%
10061,2020-07-31,0,0,26,2018-08-02,A,25,0%,0%,0%
10061,2020-06-30,0,0,26,2018-08-02,A,25,0%,0%,100%
10061,2020-05-31,0,0,26,2018-08-02,A,25,0%,0%,100%
10061,2020-04-30,0,0,26,2018-08-02,A,24,0%,0%,100%
10061,2020-03-31,0,0,26,2018-08-02,A,24,0%,0%,100%
10061,2020-02-29,0,-1,26,2018-08-02,A,24,0%,0%,100%
10061,2019-12-31,2,-1,26,2018-08-02,A,25,0%,0%,100%
10061,2019-11-30,3,-2,26,2018-08-02,A,25,0%,0%,100%
10061,2019-10-31,5,-1,26,2018-08-02,A,25,0%,0%,100%
10061,2019-08-31,8,-1,26,2018-08-02,A,25,0%,0%,100%
10061,2019-07-31,9,-1,26,2018-08-02,A,25,0%,0%,100%
10061,2019-06-30,10,-2,26,2018-08-02,A,25,0%,0%,100%
10061,2019-04-30,13,-2,26,2018-08-02,A,25,0%,0%,100%
10061,2019-03-31,15,-1,26,2018-08-02,A,25,0%,0%,100%
10061,2019-02-28,16,-1,26,2018-08-02,A,25,0%,0%,100%
10061,2019-01-31,17,-2,26,2018-08-02,A,25,0%,0%,100%
10061,2018-12-31,19,-1,26,2018-08-02,A,25,0%,0%,100%
10061,2018-11-30,20,-2,26,2018-08-02,A,25,0%,0%,100%
10061,2018-10-31,22,-1,26,2018-08-02,A,25,0%,0%,100%
10061,2018-08-31,24,-1,26,2018-08-02,A,25,0%,0%,100%
10061,2018-07-31,25,25,25,2018-07-18,A,25,0%,0%,100%
10061,2018-06-30,0,0,0,,AA,25,0%,0%,0%
10061,2018-04-30,0,0,0,,AA,25,0%,0%,0%
10061,2018-03-31,0,0,0,,AA,25,0%,0%,0%
10061,2018-02-28,0,0,0,,AA,25,0%,0%,0%
10061,2017-12-31,0,0,0,,AA,24,0%,0%,0%
10061,2017-11-30,0,0,0,,AA,24,0%,0%,0%
10061,2017-10-31,0,0,0,,AA,24,0%,0%,0%
10061,2017-09-30,0,0,0,,AA,25,0%,0%,0%
10061,2017-08-31,0,0,0,,AA,25,0%,0%,0%
10061,2017-07-31,0,0,0,,AA,25,0%,0%,0%
10061,2017-06-30,0,0,0,,AA,25,0%,0%,0%
10061,2017-04-30,0,0,0,,AA,25,0%,0%,0%
10061,2017-03-31,0,0,0,,AA,25,0%,0%,0%
10061,2017-02-28,0,0,0,,AA,25,0%,0%,0%
10061,2016-12-31,0,0,0,,AA,25,0%,0%,0%
10061,2016-11-30,0,0,0,,AA,25,0%,0%,0%
10061,2016-10-31,0,0,0,,AA,26,0%,0%,0%
10061,2016-08-31,0,0,0,,AA,26,0%,0%,0%
10061,2016-07-31,0,0,0,,AA,26,0%,0%,0%
10061,2016-06-30,0,0,0,,AA,26,0%,0%,0%
10061,2016-05-31,0,0,0,,AA,26,0%,0%,0%
10061,2016-04-30,0,0,0,,AA,26,0%,0%,0%
10061,2016-03-31,0,0,0,,AA,26,0%,0%,0%
10061,2016-02-29,0,0,0,,AA,26,0%,0%,0%
10061,2015-12-31,0,0,0,,AA,26,0%,0%,0%
10061,2015-11-30,0,0,0,,AA,26,0%,0%,0%
10061,2015-10-31,0,0,0,,AA,26,0%,0%,0%
10061,2015-08-31,0,0,0,,AA,26,0%,0%,0%
10061,2015-07-31,0,0,0,,AA,26,0%,0%,0%
10061,2015-06-30,0,0,0,,AA,26,0%,0%,0%
10061,2015-04-30,0,0,0,,AA,26,0%,0%,0%
10061,2015-03-31,0,0,0,,AA,26,0%,0%,0%
10061,2015-02-28,0,0,0,,AA,26,0%,0%,0%
10061,2015-01-31,0,0,0,,AA,26,0%,0%,0%
10061,2014-12-31,0,0,0,,AA,26,0%,0%,0%
10061,2014-11-30,0,0,0,,AA,26,0%,0%,0%
10061,2014-10-31,0,0,0,,AA,25,0%,0%,0%
10061,2014-08-31,0,0,0,,AA,24,0%,0%,0%
10061,2014-07-31,0,0,0,,AA,23,0%,0%,0%
10061,2014-06-30,0,0,0,,AA,23,0%,0%,0%
10061,2014-04-30,0,0,0,,AA,23,0%,0%,0%
10061,2014-03-31,0,0,0,,AA,23,0%,0%,0%
10061,2014-02-28,0,0,0,,AA,23,0%,0%,0%
10061,2014-01-31,0,0,0,,AA,23,0%,0%,0%
