,Company,Target ID,Target,Year,PE_Firm,PE-backed,reprisk_id,current_RRI,RRI_trend,peak_RRI,peak_RRI_date,RepRisk_rating,country_sector_average,environmental_percentage,social_percentage,governance_percentage,headquarter_country_code,sectors
0,"1-800 CONTACTS, INC.",4327099,"1-800 CONTACTS, INC.",2007,"['Fenway Partners, LLC']",1,203008,0,0,0,,AA,23,0%,0%,0%,US,Personal and Household Goods | Retail
1,"1-800 CONTACTS, INC.",4327099,"1-800 CONTACTS, INC.",2008,"['Fenway Partners, LLC']",1,203008,0,0,0,,AA,23,0%,0%,0%,US,Personal and Household Goods | Retail
2,"1-800 CONTACTS, INC.",4327099,"1-800 CONTACTS, INC.",2009,"['Fenway Partners, LLC']",1,203008,0,0,0,,AA,21,0%,0%,0%,US,Personal and Household Goods | Retail
3,"1-800 CONTACTS, INC.",4327099,"1-800 CONTACTS, INC.",2010,"['Fenway Partners, LLC']",1,203008,0,0,0,,AA,20,0%,0%,0%,US,Personal and Household Goods | Retail
4,"1-800 CONTACTS, INC.",4327099,"1-800 CONTACTS, INC.",2011,"['Fenway Partners, LLC']",1,203008,0,0,0,,AAA,19,0%,0%,0%,US,Personal and Household Goods | Retail
5,"1-800 CONTACTS, INC.",4327099,"1-800 CONTACTS, INC.",2012,"['Fenway Partners, LLC']",1,203008,0,0,0,,AAA,19,0%,0%,0%,US,Personal and Household Goods | Retail
6,"1-800 CONTACTS, INC.",4327099,"1-800 CONTACTS, INC.",2013,"['Fenway Partners, LLC']",1,203008,0,0,0,,AA,21,0%,0%,0%,US,Personal and Household Goods | Retail
7,"1-800 CONTACTS, INC.",4327099,"1-800 CONTACTS, INC.",2014,"['Fenway Partners, LLC']",1,203008,0,0,0,,AA,21,0%,0%,0%,US,Personal and Household Goods | Retail
8,"1-800 CONTACTS, INC.",4327099,"1-800 CONTACTS, INC.",2015,"['Fenway Partners, LLC']",1,203008,0,0,0,,AAA,19,0%,0%,0%,US,Personal and Household Goods | Retail
9,"1-800 CONTACTS, INC.",4327099,"1-800 CONTACTS, INC.",2016,"['AEA Investors LP', 'Fenway Partners, LLC']",1,203008,20,-2,32,2016-08-08,A,19,0%,0%,100%,US,Personal and Household Goods | Retail
10,"1-800 CONTACTS, INC.",4327099,"1-800 CONTACTS, INC.",2017,"['AEA Investors LP', 'Fenway Partners, LLC']",1,203008,20,-2,32,2016-08-08,A,20,0%,0%,100%,US,Personal and Household Goods | Retail
11,"1-800 CONTACTS, INC.",4327099,"1-800 CONTACTS, INC.",2018,"['AEA Investors LP', 'Fenway Partners, LLC']",1,203008,9,-1,29,2017-01-17,A,21,0%,0%,100%,US,Personal and Household Goods | Retail
12,"1-800 CONTACTS, INC.",4327099,"1-800 CONTACTS, INC.",2019,"['AEA Investors LP', 'Fenway Partners, LLC']",1,203008,19,-2,23,2019-09-23,AA,22,0%,0%,100%,US,Personal and Household Goods | Retail
13,"1-800 CONTACTS, INC.",4327099,"1-800 CONTACTS, INC.",2020,"['AEA Investors LP', 'Fenway Partners, LLC']",1,203008,19,-1,30,2020-07-11,A,24,0%,0%,100%,US,Personal and Household Goods | Retail
14,"ACR Electronics, Inc.",4334163,"ACR Electronics, Inc.",2007,[],0,1749204,0,0,0,,AA,23,0%,0%,0%,US,Electronic and Electrical Equipment
15,"ACR Electronics, Inc.",4334163,"ACR Electronics, Inc.",2008,[],0,1749204,0,0,0,,AA,23,0%,0%,0%,US,Electronic and Electrical Equipment
16,"ACR Electronics, Inc.",4334163,"ACR Electronics, Inc.",2009,[],0,1749204,0,0,0,,AA,22,0%,0%,0%,US,Electronic and Electrical Equipment
17,"ACR Electronics, Inc.",4334163,"ACR Electronics, Inc.",2010,[],0,1749204,0,0,0,,AA,22,0%,0%,0%,US,Electronic and Electrical Equipment
18,"ACR Electronics, Inc.",4334163,"ACR Electronics, Inc.",2011,[],0,1749204,0,0,0,,AA,21,0%,0%,0%,US,Electronic and Electrical Equipment
19,"ACR Electronics, Inc.",4334163,"ACR Electronics, Inc.",2012,"['J.F. Lehman and Company, LLC']",1,1749204,0,0,0,,AA,21,0%,0%,0%,US,Electronic and Electrical Equipment
20,"ACR Electronics, Inc.",4334163,"ACR Electronics, Inc.",2013,"['J.F. Lehman and Company, LLC']",1,1749204,0,0,0,,AA,25,0%,0%,0%,US,Electronic and Electrical Equipment
21,"ACR Electronics, Inc.",4334163,"ACR Electronics, Inc.",2014,"['J.F. Lehman and Company, LLC']",1,1749204,0,0,0,,AA,25,0%,0%,0%,US,Electronic and Electrical Equipment
22,"ACR Electronics, Inc.",4334163,"ACR Electronics, Inc.",2015,"['J.F. Lehman and Company, LLC']",1,1749204,0,0,0,,AA,22,0%,0%,0%,US,Electronic and Electrical Equipment
23,"ACR Electronics, Inc.",4334163,"ACR Electronics, Inc.",2016,"['J.F. Lehman and Company, LLC']",1,1749204,0,0,0,,AAA,18,0%,0%,0%,US,Electronic and Electrical Equipment
24,"ACR Electronics, Inc.",4334163,"ACR Electronics, Inc.",2017,"['J.F. Lehman and Company, LLC']",1,1749204,0,0,0,,AA,20,0%,0%,0%,US,Electronic and Electrical Equipment
25,"ACR Electronics, Inc.",4334163,"ACR Electronics, Inc.",2018,"['J.F. Lehman and Company, LLC']",1,1749204,0,0,0,,AA,20,0%,0%,0%,US,Electronic and Electrical Equipment
26,"ACR Electronics, Inc.",4334163,"ACR Electronics, Inc.",2019,"['J.F. Lehman and Company, LLC']",1,1749204,0,0,0,,AA,21,0%,0%,0%,US,Electronic and Electrical Equipment
27,"ACR Electronics, Inc.",4334163,"ACR Electronics, Inc.",2020,"['J.F. Lehman and Company, LLC']",1,1749204,15,-2,20,2020-09-03,AA,23,0%,0%,0%,US,Electronic and Electrical Equipment
28,"ADESA, Inc.",4021791,"ADESA, Inc.",2007,"['PCP Managers, L.P.', 'Kelso & Company, L.P.']",1,196147,0,0,0,,AA,26,0%,0%,0%,US,Retail | Automobiles and Parts
29,"ADESA, Inc.",4021791,"ADESA, Inc.",2008,"['PCP Managers, L.P.', 'Kelso & Company, L.P.']",1,196147,0,0,0,,AA,26,0%,0%,0%,US,Retail | Automobiles and Parts
